focal;neighbor;assoc;RAW_GY;RAW_GNb;RAW_SY;RAW_SNb;RAW_BY;RAW_PY;RAW_TKW;RAW_SeY;RAW_GPC;RAW_TW;RAW_RLVA;RAW_YI;RAW_GPD;RYT_GY;RYT_GNb;RYT_SY;RYT_SNb;RYT_BY;RYT_PY;RYT_TKW;RYT_SeY;RYT_GPC;RYT_TW;RYT_RLVA;RYT_YI;RYT_GPD
EL4X_348;EL4X_40;P;712.665392591073;16994.8559690984;1140.14336496964;445.996021934568;892.594975346744;113.838310366526;42.6982319884852;74.1334172558438;15.9735987673877;81.1465731971164;14.5838250937559;37.7614616881402;-0.165748692532579;1.22044826505934;1.25163186968955;1.16647192004688;1.13886424445959;1.0883283222449;1.23103792480308;0.947635269839389;0.989446206872239;1.00634759946845;0.987427608382791;1.86986886040271;0.996407184744405;0.735700264788933
EL4X_373;EL4X_373;M;760.334094060748;21258.9648047536;1215.54388012273;407.111642093335;805.818606789182;125.571619415526;35.7653395188242;72.4183588235587;16.5153214088928;78.8341914298201;12.9084901592101;38.8095763069964;0.516414574924317;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_9;EL4X_9;M;668.546814122322;19779.6084644488;1090.83589252793;421.899725642561;731.236389911697;103.075739058413;33.7998001994805;71.8725902609505;15.4178790297179;79.3704918506513;19.3498772144241;38.6541393636899;-0.851449750968925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_85;EL4X_85;M;783.924890487887;20742.2114197447;1153.2390127687;497.589318227851;746.477389392673;122.386876335371;37.7936987828434;71.7148075265976;15.6120666431706;79.023175117472;21.7839705213199;38.2994388279193;-0.317337432913101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_35;EL4X_394;P;648.418143323004;17220.3211632818;1020.05795888513;394.182967206158;692.130951168048;107.761974434684;37.6662068818975;71.3393097861933;16.6192102340671;76.1598064530795;11.1789355293176;38.617405166581;0.290578744485769;1.09562011994051;1.17685071096177;1.08958063272109;1.08803747434304;1.09609551259455;1.09765686969608;0.939716143334549;0.986852896858524;0.99239576077015;0.996426007899042;1.19473614486756;0.995757199679795;0.0862230471876391
EL4X_197;EL4X_197;M;709.629719592057;15593.5449718853;1123.27042784423;378.596880414438;763.075330034685;109.404239022878;45.5079150296804;74.4049521268795;15.4170880957143;82.7478936555947;-7.00867113562466;37.9131059006664;-0.731203006533593;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_482;GQ4X_76;P;616.655080990134;14473.8371314624;923.569009156997;350.553716067521;658.548906509995;100.433287014194;42.6537891688455;73.2647921087181;16.2867849646083;81.0494230438166;0.289214366163116;37.7385012818423;-0.135426257976931;0.713118516986334;0.719146489367531;0.751849927770777;0.747010318932299;0.673999655039292;0.702542979603607;0.991074281477557;0.992593240976527;0.986165876840416;0.99115026512774;-0.0603433779480426;1.0195918645299;-0.960885625020342
EL4X_261;EL4X_27;P;564.87016090839;16193.8945097486;937.049816461508;364.600260489668;668.395866393518;93.58695592596;35.2228220882162;71.8075394965726;16.5678703536861;76.3733434408003;12.9296376969514;37.8235705882848;-0.00690862021011919;0.765355577976932;0.841616957008702;0.834720773550065;0.919489046106129;0.824653013149626;0.828213345301285;0.922638336943851;0.982945601529758;1.08729992122527;0.948814162630102;0.800829870195636;0.983394440628499;0.727662474699844
EL4X_199;EL4X_199;M;703.356383463897;16818.5671775309;999.718792949835;416.327500715905;1069.95940814168;122.619863235519;41.8202321303304;73.058072548825;17.4335324336774;81.9718851052734;-14.3708967187845;37.0005671464138;1.26675894727635;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_252;EL4X_252;M;733.79228903915;19946.3744888318;1118.78976631979;345.372512594517;793.643762961252;114.661581348643;36.7882538979708;73.3283970243478;15.6258907406596;80.9323130340993;8.92591639070967;39.2692055696286;-0.451213056855183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_412;EL4X_412;M;714.955739986682;18208.9814822782;1040.59423355936;392.135211927872;713.623024273557;113.733068232454;39.26390614887;72.7479224441947;15.9077075504803;79.1111165580456;13.8636149442732;39.091048724816;-0.224892131296889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_268;EL4X_268;M;511.171558622327;12721.1453225503;954.591177214705;320.214725418398;617.833368044507;88.2503475687375;40.1828251829018;73.0621865435971;17.2643305520721;78.495456560113;3.10627639697077;37.6345528826208;0.531345772578528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EL4X_373;EL4X_462;P;727.783767806177;18222.9293701555;1221.09863599865;447.02324534733;917.870014431219;128.629526164025;40.4724800070423;73.1892524716199;17.6741405694942;79.3727700542821;-1.89972025563564;36.9264617237883;1.57933458045779;0.91564541734438;0.926513133833443;1.02330147269165;0.996253868682326;0.96671383453375;0.937830369845787;1.01281162095366;1.00194213018489;1.02984622110195;0.99689180275246;-1.27760193516306;0.99512231386802;0.375410248804253
EL4X_298;GQ4X_75;P;657.192129499345;17268.5471300362;1061.05171881065;370.843076407263;692.834392704533;104.198687391062;38.3878985455016;73.2050458038517;15.855133181592;79.518495502776;3.47178812751655;38.2894830327837;-0.447648555998825;0.935388520817666;0.943703220243013;0.964046817580314;1.02666690788937;0.977360084434391;0.96969830350381;1.01276866171049;0.996135703123552;1.03050918631515;0.98801193313018;0.302294951848792;0.978756395934343;0.623249580341212
EL4X_444;EL4X_49;P;675.811044530994;14870.1396665195;854.089954482804;372.149499624075;793.693722549752;110.170739752933;45.5367766860795;73.3915406617902;16.3020034437866;81.5334408333488;-0.121090884420704;37.6851577634785;0.0540764012256174;1.01187218455085;0.988989804295099;0.908862828871182;1.09234007667458;1.02747782954152;1.01318650967548;1.02243537280313;0.996218343293182;1.00306028788859;0.99675657817615;0.0883688495158277;0.996897851035688;0.202868182278467
